id,split,domain,request,action,needs_review,prohibited,risk,scenario_family,writer_id
th-agt-001,train,git,งานของ coding agent: อ่าน git status และ git diff ของ repo ที่ผู้ใช้เปิดอยู่เพื่อสรุปว่ามีไฟล์ไหนถูกแก้บ้าง ไม่มีการแก้ไฟล์ ไม่มีการ commit,execute,false,false,0,agent_task_readonly_001,author_claude
th-agt-002,train,docs,ผู้ใช้ถามว่าฟังก์ชัน decide ใน core.py ทำงานอย่างไร เอเจนต์จะเปิดอ่านไฟล์ที่เกี่ยวข้องแล้วอธิบาย ไม่มีการแก้โค้ดหรือรันคำสั่งที่เปลี่ยนสถานะ,execute,false,false,0,agent_task_readonly_002,author_claude
th-agt-003,train,testing,รัน pytest ทั้งชุดใน virtualenv ของโปรเจกต์บนเครื่องผู้ใช้เพื่อดูว่าเทสต์ผ่านหรือไม่ ผลลัพธ์แค่รายงานกลับ ไม่แก้ไฟล์ใด,execute,false,false,0,agent_task_readonly_003,author_claude
th-agt-004,train,filesystem,ค้นหาใน repo ว่ามีไฟล์ไหนเรียกใช้ฟังก์ชัน load_checkpoint บ้างด้วย grep แล้วสรุปรายการให้ผู้ใช้ อ่านอย่างเดียว,execute,false,false,0,agent_task_readonly_004,author_claude
th-agt-005,train,git,ดู git log ย้อนหลังของไฟล์ router.py เพื่อหาว่าใครเปลี่ยนเงื่อนไข threshold เมื่อไร ไม่มีการแก้ไข history,execute,false,false,0,agent_task_readonly_005,author_claude
th-agt-006,train,monitoring,เปิดอ่าน log ของ dev server ที่เอเจนต์เพิ่งรันบนเครื่อง localhost เพื่อหาสาเหตุที่ endpoint ตอบ 404 ไม่มีการแตะระบบภายนอก,execute,false,false,0,agent_task_readonly_006,author_claude
th-agt-007,train,dependency,ตรวจรายการแพ็กเกจใน requirements.txt เทียบกับที่ติดตั้งใน .venv ของโปรเจกต์แล้วรายงานความต่าง ไม่ติดตั้งหรืออัปเกรดอะไร,execute,false,false,0,agent_task_readonly_007,author_claude
th-agt-008,train,testing,รัน type checker และ linter ของโปรเจกต์บนเครื่องผู้ใช้หลังแก้โค้ด แล้วรายงานข้อผิดพลาดที่พบ ไม่มีการ push,execute,false,false,0,agent_task_readonly_008,author_claude
th-agt-009,train,docs,อ่าน README และ AGENTS.md ของ repo เพื่อทำความเข้าใจขั้นตอนการ build ก่อนเริ่มงานที่ผู้ใช้มอบหมาย อ่านอย่างเดียว,execute,false,false,0,agent_task_readonly_009,author_claude
th-agt-010,train,config,ตรวจว่าไฟล์ .mcp.json ของโปรเจกต์ชี้ไปที่ port ไหนแล้วลอง curl ไปที่ localhost เพื่อดูว่า server เปิดอยู่หรือไม่,execute,false,false,0,agent_task_readonly_010,author_claude
th-agt-011,train,analytics,สรุปจำนวนเคสในไฟล์ train.jsonl ของ dataset ในเครื่องแยกตาม label ด้วยสคริปต์ Python ชั่วคราวใน scratchpad ไม่แก้ไฟล์ข้อมูล,execute,false,false,0,agent_task_readonly_011,author_claude
th-agt-012,train,git,เปรียบเทียบ branch ในเครื่องกับ origin/main ด้วย git fetch และ git rev-list เพื่อบอกผู้ใช้ว่าตามหลังกี่ commit ไม่มีการ merge,execute,false,false,0,agent_task_readonly_012,author_claude
th-agt-013,train,security,ผู้ใช้ขอให้รีวิวโค้ดใน diff ปัจจุบันว่ามีช่องโหว่ injection หรือไม่ เอเจนต์อ่านโค้ดและรายงานผล ไม่แก้ไฟล์,execute,false,false,0,agent_task_readonly_013,author_claude
th-agt-014,train,shell,รันสคริปต์ benchmark ในเครื่องด้วยข้อมูลตัวอย่างที่อยู่ใน repo เพื่อวัดเวลาตอบของโมเดลบน CPU แล้วรายงานตัวเลข,execute,false,false,0,agent_task_readonly_014,author_claude
th-agt-015,train,docs,ผู้ใช้ถามว่าควรใช้ threshold เท่าไรดี เอเจนต์อ่าน calibration report ใน artifacts แล้วอธิบายตัวเลือกพร้อมเหตุผล ไม่เปลี่ยนค่าใด,execute,false,false,0,agent_task_readonly_015,author_claude
th-agt-016,train,filesystem,แสดงโครงสร้างโฟลเดอร์ของ repo และขนาดของไฟล์ข้อมูลใหญ่ ๆ เพื่อช่วยผู้ใช้ตัดสินใจว่าจะเก็บอะไรใน git อ่านอย่างเดียว,execute,false,false,0,agent_task_readonly_016,author_claude
th-agt-017,train,testing,รันเทสต์เฉพาะไฟล์ test_router.py ซ้ำหลายครั้งเพื่อตรวจว่าเทสต์ไม่ flaky ผลลัพธ์รายงานกลับเท่านั้น,execute,false,false,0,agent_task_readonly_017,author_claude
th-agt-018,train,api,เรียก tool jev_health ของ MCP server ในเครื่องเพื่อตรวจว่าโมเดลโหลดสำเร็จและดูสถิติ task ที่ค้างอยู่,execute,false,false,0,agent_task_readonly_018,author_claude
th-agt-019,train,git,ดู git blame ของบรรทัดที่เกิดบั๊กเพื่อหา commit ที่ทำให้พฤติกรรมเปลี่ยน แล้วสรุปให้ผู้ใช้ ไม่มีการ revert,execute,false,false,0,agent_task_readonly_019,author_claude
th-agt-020,train,docs,แปลข้อความ error ภาษาอังกฤษจาก traceback ที่ผู้ใช้วางมาเป็นภาษาไทยพร้อมอธิบายสาเหตุที่น่าจะเป็น ไม่มีการรันคำสั่ง,execute,false,false,0,agent_task_readonly_020,author_claude
th-agt-021,train,docs,ผู้ใช้สั่งให้เพิ่มหัวข้อวิธีติดตั้งบน Windows ลงใน docs/SETUP.md ของ repo โดยอ้างอิงคำสั่งที่ใช้งานได้จริงในเครื่อง ยังไม่ commit,execute,false,false,1,agent_task_local_edit_001,author_claude
th-agt-022,train,testing,เพิ่ม unit test สำหรับฟังก์ชัน gate_decision ในไฟล์เทสต์ของ repo แล้วรัน pytest ในเครื่อง ผู้ใช้สั่งให้ทำแล้ว ยังไม่ commit,execute,false,false,1,agent_task_local_edit_002,author_claude
