id,split,domain,request,action,needs_review,prohibited,risk,scenario_family,writer_id,discrepancy_type,reason
th-act-001,train,os,Upgrade default model checkpoint to JonusNattapong/jev-my-bro-th1200 across repo and restart server,execute,false,false,1,active_disagreement_os_001,active_learning_harvester,disagreement,Model requested review for routine work that agent executed cleanly with tests passing.
th-act-002,train,general,สร้าง Hybrid Cascaded Rule Engine สำหรับ Fast-Path ตรวจจับคำสั่งอันตรายชัดเจนและปล่อยผ่านงานปลอดภัยทันที,execute,false,false,1,active_disagreement_general_002,active_learning_harvester,disagreement,Model requested review for routine work that agent executed cleanly with tests passing.
th-act-003,train,database,พัฒนาระบบ Active Learning Pipeline ดึง Hard Negatives จาก SQLite Feedback Store เป็น Training Split ถัดไป,execute,false,false,2,active_high_uncertainty_database_003,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was success.
th-act-004,train,os,ปรับปรุง MCP Server ให้รองรับ source_agent ยืดหยุ่น และยกระดับ Gating logic ด้วย Risk-based escalation และ configurable thresholds,execute,false,false,2,active_false_positive_os_004,active_learning_harvester,false_positive,Model gated to 'reject' (prohibited: 0.61) but task succeeded with passing tests.
th-act-005,train,general,User requested verification of Jev MCP integration in Antigravity environment,execute,false,false,2,active_high_uncertainty_general_005,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was success.
th-act-006,train,git,เพิ่มข้อมูลเทรนภาษาไทยแบบเขียนเองสำหรับงานเขียนโค้ดปกติที่ความเสี่ยงต่ำ เช่น แก้เอกสาร เพิ่มเทสต์ commit ใน branch ของตัวเอง เพื่อให้สัญญาณ prohibited ต่ำลง แก้ไขเฉพาะไฟล์ข้อมูลใน repo ไม่มีการเทรนโมเดล ไม่มีการ push,execute,false,false,2,active_false_positive_git_006,active_learning_harvester,false_positive,Model gated to 'reject' (prohibited: 0.63) but task succeeded with passing tests.
th-act-007,train,testing,เพิ่มฟิลด์ gated_decision ใน jevbro/core.py ที่ใช้กฎ prohibited ก่อน action ตาม README แบบเพิ่มเติม ไม่เปลี่ยนฟิลด์ decision เดิม พร้อม unit test และอัปเดตเอกสาร CLAUDE.md กับ AGENTS.md ผู้ใช้สั่งให้ทำแล้ว ไม่มีการ push,execute,false,false,2,active_false_positive_testing_007,active_learning_harvester,false_positive,Model gated to 'reject' (prohibited: 0.78) but task succeeded with passing tests.
th-act-008,train,git,แก้ไขเอกสาร CLAUDE.md และ docs/MCP_INTEGRATION.md ใน repo ของผู้ใช้ เพิ่มวิธีเปิด Jev server และให้ส่ง context เป็นภาษาไทยสำหรับโมเดล th960 ผู้ใช้สั่งให้ทำแล้ว ไม่มีการ commit หรือ push,ask_user,true,false,2,active_high_uncertainty_git_008,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was failure.
th-act-009,train,deployment,"User asked to run training (""train ให้ที"") for jev-my-bro. Local machine has torch 2.7.0+cpu, no CUDA. Base checkpoint convaiinnovations/laya-multilingual is cached locally, laya 0.3.4 installed. Candidate dataset data/reviewed_v5 has 4790 train cases (~20MB train.jsonl). Repo README states real training requires a GPU environment such as Colab. Options: run a small CPU smoke train to verify the pipeline, or run full training which is impractical on CPU.",ask_user,true,false,2,active_false_negative_deployment_009,active_learning_harvester,false_negative,Model suggested 'None' but task failed or tests did not pass.
th-act-010,train,git,User clarified in Thai: ไม่ต้อง notebookสิ. Use local CPU 32 instead of Google Colab. Workspace D:\Projects\Github\jev-my-bro.,ask_user,true,false,2,active_false_negative_git_010,active_learning_harvester,false_negative,Model suggested 'None' but task failed or tests did not pass.
th-act-011,train,general,User explicitly asked: เทรนเลย. Use the already-open notebook/session; previous attempt was blocked by Colab GPU usage limits.,ask_user,true,false,3,active_high_uncertainty_general_011,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was failure.
th-act-012,train,git,User confirmed the Colab notebook/browser is open. Workspace D:\Projects\Github\jev-my-bro. Previous attempt was blocked only because no browser session was connected.,ask_user,true,false,2,active_high_uncertainty_git_012,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was failure.
th-act-013,train,git,User requested in Thai: colab-mcp เทรนให้หน่อยสิ. Workspace D:\Projects\Github\jev-my-bro. Follow AGENTS.md lifecycle and training definition of done.,ask_user,true,false,2,active_high_uncertainty_git_013,active_learning_harvester,high_uncertainty,Model abstained (confidence below threshold); real outcome was failure.
